{timestamp: 2018-11-28T06:45:35.774Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:13.167Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:20.599Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:27.692Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:46:35.515Z, level: error, message: Cannot read property 'validate' of undefined}
{timestamp: 2018-11-28T06:52:50.129Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:52:51.750Z, level: error, message: Cannot read property 'validate' of undefined}
{timestamp: 2018-11-28T06:57:11.853Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:57:31.016Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:58:38.050Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:58:44.652Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:59:12.351Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T06:59:44.742Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:00:24.402Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:02:45.079Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:04:37.502Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:04:41.816Z, level: error, message: autoFormat is not defined}
{timestamp: 2018-11-28T07:05:40.380Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:06:25.914Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:06:30.836Z, level: error, message: Model.find is not a function}
{timestamp: 2018-11-28T07:17:26.936Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:37:08.479Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:38:34.797Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T07:42:58.524Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:40:36.356Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:40:49.285Z, level: error, message: commonMysqlService is not defined}
{timestamp: 2018-11-28T08:41:43.480Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:41:54.508Z, level: error, message: commonMysqlService is not defined}
{timestamp: 2018-11-28T08:43:38.628Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:43:39.369Z, level: error, message: commonMysqlService is not defined}
{timestamp: 2018-11-28T08:44:10.374Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:44:26.916Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:44:49.280Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:44:56.016Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:45:07.113Z, level: error, message: Model.findOne is not a function}
{timestamp: 2018-11-28T09:33:54.285Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:40:13.128Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:43:02.373Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:44:25.651Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:47:36.394Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:48:00.308Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:48:24.780Z, level: info, message: server started on port 4040 (development)}
