{timestamp: 2018-11-28T08:41:43.480Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:41:54.508Z, level: error, message: commonMysqlService is not defined}
{timestamp: 2018-11-28T08:43:38.627Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:43:39.368Z, level: error, message: commonMysqlService is not defined}
{timestamp: 2018-11-28T08:44:10.373Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:44:26.915Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:44:49.280Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:44:56.016Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T08:45:07.113Z, level: error, message: Model.findOne is not a function}
{timestamp: 2018-11-28T09:33:54.284Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:40:13.127Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:43:02.372Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:44:25.650Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:47:36.394Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:48:00.307Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:48:24.779Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:49:24.353Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:50:47.045Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:51:34.767Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:52:48.647Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:57:13.714Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:57:38.096Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:57:51.108Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:58:45.548Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T09:59:32.055Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:00:29.275Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:00:35.196Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:02:08.182Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:02:10.491Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:04:02.802Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:04:10.047Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:07:19.746Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:07:25.524Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:13:41.408Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:14:08.968Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:14:16.603Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:14:21.148Z, level: error, message: Cannot read property 'findOne' of undefined}
{timestamp: 2018-11-28T10:16:38.673Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:16:49.773Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:16:56.942Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:21:12.284Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:22:35.472Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:23:22.930Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T10:23:27.579Z, level: info, message: server started on port 4040 (development)}
